
'Oak's words echoed... there is a time and a place for everything!' Run with $shadowdetection samples!

---
> Opening image PETs1/frames/.*...
> Opening background PETs1/bgs/.*...
> Opening shadows PETs1/shadows/.*...
Image failed to open.

'Oak's words echoed... there is a time and a place for everything!' Run with $shadowdetection samples!

---
> Opening image PETs1/frames/*...
> Opening background PETs1/bgs/*.*...
> Opening shadows PETs1/shadows/*.*...
Image failed to open.

'Oak's words echoed... there is a time and a place for everything!' Run with $shadowdetection samples!

---
> Opening image ./samples/PETs1/frames/00043.jpg...
> Opening background ./samples/PETs1/bgs/00043.jpg...
> Opening shadows ./samples/PETs1/shadows/00043.jpg...

'Oak's words echoed... there is a time and a place for everything!' Run with $shadowdetection samples!

---
> Opening image ./samples/PETs1/frames/00048.jpg...
> Opening background ./samples/PETs1/bgs/00048.jpg...
> Opening shadows ./samples/PETs1/shadows/00048.jpg...

'Oak's words echoed... there is a time and a place for everything!' Run with $shadowdetection samples!

---
> Opening image ./samples/PETs1/frames/00066.jpg...
> Opening background ./samples/PETs1/bgs/00066.jpg...
> Opening shadows ./samples/PETs1/shadows/00066.jpg...

'Oak's words echoed... there is a time and a place for everything!' Run with $shadowdetection samples!

---
> Opening image ./samples/PETs1/frames/00072.jpg...
> Opening background ./samples/PETs1/bgs/00072.jpg...
> Opening shadows ./samples/PETs1/shadows/00072.jpg...

'Oak's words echoed... there is a time and a place for everything!' Run with $shadowdetection samples!

---
> Opening image ./samples/PETs1/frames/00076.jpg...
> Opening background ./samples/PETs1/bgs/00076.jpg...
> Opening shadows ./samples/PETs1/shadows/00076.jpg...

'Oak's words echoed... there is a time and a place for everything!' Run with $shadowdetection samples!

---
> Opening image ./samples/PETs1/frames/00081.jpg...
> Opening background ./samples/PETs1/bgs/00081.jpg...
> Opening shadows ./samples/PETs1/shadows/00081.jpg...

'Oak's words echoed... there is a time and a place for everything!' Run with $shadowdetection samples!

---
> Opening image ./samples/PETs1/frames/00084.jpg...
> Opening background ./samples/PETs1/bgs/00084.jpg...
> Opening shadows ./samples/PETs1/shadows/00084.jpg...

'Oak's words echoed... there is a time and a place for everything!' Run with $shadowdetection samples!

---
> Opening image ./samples/PETs1/frames/00090.jpg...
> Opening background ./samples/PETs1/bgs/00090.jpg...
> Opening shadows ./samples/PETs1/shadows/00090.jpg...

'Oak's words echoed... there is a time and a place for everything!' Run with $shadowdetection samples!

---
> Opening image ./samples/PETs1/frames/00106.jpg...
> Opening background ./samples/PETs1/bgs/00106.jpg...
> Opening shadows ./samples/PETs1/shadows/00106.jpg...

'Oak's words echoed... there is a time and a place for everything!' Run with $shadowdetection samples!

---
> Opening image ./samples/PETs1/frames/00123.jpg...
> Opening background ./samples/PETs1/bgs/00123.jpg...
> Opening shadows ./samples/PETs1/shadows/00123.jpg...

'Oak's words echoed... there is a time and a place for everything!' Run with $shadowdetection samples!

---
> Opening image ./samples/PETs1/frames/00138.jpg...
> Opening background ./samples/PETs1/bgs/00138.jpg...
> Opening shadows ./samples/PETs1/shadows/00138.jpg...

'Oak's words echoed... there is a time and a place for everything!' Run with $shadowdetection samples!

---
> Opening image ./samples/PETs1/frames/00166.jpg...
> Opening background ./samples/PETs1/bgs/00166.jpg...
> Opening shadows ./samples/PETs1/shadows/00166.jpg...
