00009,72.8181,78.0194, 68.2878,52.6612, 72.5516,94.5496, 70.0866,76.5609, 26.5823,100.0000,
00019,37.3047,75.5725, 46.8750,67.0760, 0.0000,100.0000, 44.7266,78.2609, 0.0000,93.7604,
00029,50.7905,63.9494, 44.2688,66.8265, 0.0000,100.0000, 64.2292,84.9172, 3.1621,84.0453,
00054,77.8761,69.7446, 99.1150,66.1100, 0.0000,100.0000, 69.0265,94.9902, 0.0000,100.0000,
00077,57.9767,77.3554, 99.3515,68.5402, 0.2594,34.0477, 74.8379,91.9127, 83.5279,89.1225,
00078,74.1440,77.3310, 100.0000,63.8533, 0.0000,100.0000, 8.9728,99.0278, 93.5065,96.9951,
00081,74.2164,75.8822, 99.0900,56.3435, 0.0000,94.7242, 7.7856,96.6769, 91.4055,76.2019,
00081.jpg,
00084,78.4682,75.8360, 99.2052,53.9914, 0.0000,100.0000, 69.0751,83.8008, 89.3064,90.3452,
00088,21.7105,70.8188, 100.0000,58.9431, 0.0000,83.7398, 0.0000,100.0000, 78.2895,78.7747,
00115,15.1329,56.5330, 25.7669,61.8370, 0.0000,100.0000, 23.9264,85.4463, 0.0000,100.0000,
00177,84.5038,66.9796, 73.6506,63.6037, 0.0000,100.0000, 45.6761,95.9648, 27.7423,85.6173,
