474,0.712901,0.612428,0.490323,0.299852
496,0.695144,0.597076,0.462622,0.271659
500,0.688085,0.592502,0.456522,0.279539
501,0.678227,0.563589,0.437079,0.272859
486,0.68564,0.581395,0.455767,0.283186
522,0.6586,0.555366,0.431991,0.273992
493,0.680906,0.566403,0.436571,0.265276
538,0.667901,0.551293,0.43428,0.251739
541,0.660602,0.536418,0.404185,0.248611
518,0.672359,0.55229,0.425721,0.262108
528,0.666034,0.54007,0.412027,0.223529
522,0.674564,0.555366,0.423204,0.23348
491,0.689044,0.575627,0.438857,0.271513
486,0.705276,0.595337,0.457589,0.262519
497,0.699879,0.585833,0.444693,0.248109
471,0.704702,0.593615,0.467797,0.287443
504,0.691554,0.580699,0.440622,0.256637
503,0.697353,0.588043,0.450873,0.26138
448,0.717884,0.619371,0.482081,0.292259
477,0.711957,0.601836,0.46882,0.280543
490,0.708507,0.60388,0.461538,0.291907
450,0.71246,0.602122,0.463007,0.244966
465,0.71028,0.607264,0.473982,0.2723
478,0.706928,0.601002,0.469478,0.273556
461,0.716656,0.605983,0.476731,0.291859
485,0.701722,0.609186,0.461111,0.285714
504,0.690608,0.583127,0.460963,0.254438
483,0.701668,0.607317,0.462736,0.285503
455,0.713836,0.60262,0.482955,0.295666
486,0.701107,0.597015,0.471739,0.286344
472,0.704261,0.598639,0.472036,0.278287
488,0.682911,0.573799,0.445455,0.267267
550,0.667674,0.552117,0.428868,0.250681
539,0.665217,0.54322,0.39574,0.218841
505,0.688464,0.572396,0.431306,0.268116
546,0.659601,0.558252,0.426471,0.252055
510,0.680651,0.572864,0.451023,0.285714
533,0.666875,0.558775,0.421281,0.234195
539,0.659722,0.556379,0.416035,0.263661
511,0.678414,0.563621,0.428412,0.25942
504,0.681214,0.558282,0.429219,0.232877
475,0.696679,0.596774,0.469866,0.289985
453,0.717405,0.610825,0.484055,0.303077
477,0.702804,0.575245,0.445349,0.251177
486,0.711401,0.592965,0.474595,0.266968
497,0.69226,0.589256,0.454446,0.264793
445,0.718533,0.613715,0.489679,0.300314
474,0.709202,0.596596,0.479693,0.290419
462,0.716042,0.612741,0.498915,0.318584
504,0.688697,0.58209,0.452769,0.27897
479,0.704686,0.596121,0.477074,0.296623
473,0.702516,0.600844,0.471508,0.283333
483,0.710952,0.601485,0.473282,0.278027
